Country,Year,GDPPC,CO2GDP,EIL,PRE,Trade,FG,Gini,School,Net
Argentina,2000,10672.72204,0.334302578,3.69,9.85,22.62244478,63.50844193,48.62,8.799648762,4.081870821
Argentina,2001,10090.65344,0.331185397,3.59,11.51,21.85225545,62.17956161,50.35,8.867059708,4.110721062
Argentina,2002,8895.319642,0.348552811,3.99,11.62,41.75272436,81.89556122,49.57,9.391139984,4.736957866
Argentina,2003,9581.969792,0.348038133,3.97,10.82,40.64474803,77.19697571,46.42,9.915220261,7.396539165
Argentina,2004,10341.64341,0.353530356,4.04,9.29,40.69264611,74.48223114,43.71,10.00709343,0.054062735
Argentina,2005,11141.31067,0.335392933,3.68,9.64,40.55127097,67.65434265,42.62,10.0989666,0.490515673
Argentina,2006,11913.95853,0.32938354,3.58,9.18,40.43347987,66.65723419,44.08,10.19083977,9.044490491
Argentina,2007,12857.09258,0.317579687,3.44,7.72,40.94517062,63.04167938,43.58,10.29859972,11.49833178
Argentina,2008,13246.63489,0.313466419,3.42,7.65,40.40267338,54.46671295,41.22,10.40635967,10.55667007
Argentina,2009,12336.86194,0.311938988,3.35,8.59,34.05712691,56.51673126,41.13,10.54321003,8.052845249
Argentina,2010,13551.33919,0.302541622,3.26,8.79,34.97101326,52.01819611,41,10.59963989,7.088649111
Argentina,2011,14200.26989,0.301475125,3.18,8.83,35.206155,46.93246078,40.59,10.69979,7.253886609
Argentina,2012,13895.63371,0.306866969,3.3,8.61,30.52654237,44.78348923,38.77,10.78507042,5.49293487
Argentina,2013,14071.50868,0.308584547,3.31,8.91,29.333929,44.17884064,38.64,10.89459991,4.28730808
Argentina,2014,13567.94842,0.310224639,3.4,9.79,28.40679365,45.32196808,39.06,10.90851021,4.648978306
Argentina,2015,13789.06042,0.311980198,3.36,9.4,22.48622609,43.32024384,39.18,10.91755009,5.0199064
Argentina,2016,13360.21183,0.314502189,3.41,9.38,26.09388785,47.04463959,39.29,10.92819023,5.038933003
Argentina,2017,13595.03736,0.299382163,3.32,10.37,25.28960114,48.97817612,38.78,11.01644516,4.964113978
Argentina,2018,13105.39716,0.303359806,3.31,10.52,30.76253595,59.31309128,39.5,11.10470009,1.595620503
Argentina,2019,12716.2242,0.294272085,3.35,10.74,32.63061505,64.4810257,39.88,11.14726927,3.642318565
Argentina,2020,11341.26837,0.300285421,3.46,9.84,30.21979989,63.06419373,39.95,11.14726927,8.545643361
Bolivia,2000,2017.394609,0.467736019,3.38,29.79,45.59777502,54.28380203,62.88,7.102773454,1.965802834
Bolivia,2001,2015.377479,0.443243341,3.54,29.59,45.22782243,53.76486206,59.79,7.214270115,3.360220893
Bolivia,2002,2029.617944,0.461644074,4.1,28.67,49.35026037,53.62633514,60.62,7.152404118,4.810852285
Bolivia,2003,2048.559818,0.478517956,4.09,27.52,51.96783644,61.23752594,57.48,7.09053812,6.374323072
Bolivia,2004,2097.258353,0.485407406,3.98,26.26,57.46426609,61.28638077,54.34,7.028672123,5.55896352
Bolivia,2005,2152.36197,0.489656585,4.21,25.07,67.64194136,61.92308426,63.11,6.966806126,5.278121833
Bolivia,2006,2216.544709,0.506573001,4.07,23.7,74.53784843,60.6506691,60.27,6.904940128,9.901754134
Bolivia,2007,2277.503826,0.538382238,3.98,22.07,76.06191145,61.86165237,58.07,7.052365065,12.80907129
Bolivia,2008,2376.078089,0.542410323,3.82,21.3,82.8670209,55.71665192,50.72,7.199790001,17.29178026
Bolivia,2009,2414.129945,0.559253919,3.85,20.62,68.62707391,54.6812439,50.69,7.481540203,15.16532499
Bolivia,2010,2471.473633,0.581884132,4.01,19.93,75.51162625,49.60755539,48.76,7.712310155,15.70434036
Bolivia,2011,2556.830269,0.60161158,4.09,18.1,82.48039542,47.43894958,46.83,7.943080107,14.22364311
Bolivia,2012,2643.690816,0.606985413,4.22,17.36,84.94876117,50.63823318,47.16,8.17385006,13.3131713
Bolivia,2013,2777.720532,0.607328168,3.99,16.02,81.23090753,52.51393127,47.81,8.425590197,11.95267833
Bolivia,2014,2882.806896,0.618917418,4.16,15.03,85.26446956,50.20026016,46.83,8.677330335,9.670055756
Bolivia,2015,2975.648811,0.606144843,3.98,14.22,67.93284519,48.3155632,45.21,8.929070473,6.033938555
Bolivia,2016,3054.892548,0.619888792,4.03,13.62,56.4010345,45.59567642,46.35,9.162832737,6.782511591
Bolivia,2017,3135.031646,0.603284318,4.03,14.29,56.70465276,48.16334915,45.99,9.396595001,6.089756048
Bolivia,2018,3219.200892,0.585607495,3.94,14.33,57.10996461,44.40433121,43.71,9.630357265,5.415743925
Bolivia,2019,3242.948845,0.571535844,3.87,13.52,56.39730673,43.79240799,42.78,9.86411953,4.082094195
Bolivia,2020,2920.197447,0.52717829,3.55,16.86,45.50326262,43.2285347,44.76,9.827750206,2.218112315
Brazil,2000,6745.856994,0.264384513,3.88,42.66,22.63976136,43.06348419,55.94,5.272654063,5.088007681
Brazil,2001,6749.880827,0.265502803,3.9,41.33,26.93628502,49.32239914,56.02,5.449625497,4.544872311
Brazil,2002,6868.695117,0.2563298,3.89,42.85,27.6183574,51.31235504,55.6,5.626596931,5.922688166
Brazil,2003,6865.172461,0.247896545,3.91,45.11,28.14038472,51.76783371,54.7,5.803568365,7.06446028
Brazil,2004,7178.346659,0.247750816,3.9,45.18,29.67825248,49.56324005,53.93,5.980539799,8.864999426
Brazil,2005,7325.902707,0.24238145,3.88,46.13,27.08679521,44.83569717,53.91,6.150349855,8.818587276
